EXAMIN_DE,EXAMIN_AREA_NM,EXAMIN_AREA_CD,EXAMIN_MRKT_NM,PRDLST_CD,PRDLST_DETAIL_NM,EXAMIN_MRKT_CD,DISTB_STEP,PRDLST_DETAIL_CD,GRAD_CD,PRDLST_NM,DISTB_STEP_SE,EXAMIN_AMT,BFRT_EXAMIN_AMT,STNDRD,GRAD,MONTH
2022-02-04,인천,2300,현대시장,231,월동,36,소비자가격,6,1,무,7,2000,2000,1개,상(1등급),2022-02
2022-02-04,인천,2304,E-유통,231,월동,1,소비자가격,6,1,무,7,1490,1490,1개,상(1등급),2022-02
2022-02-04,광주,2401,양동시장,231,월동,21,소비자가격,6,1,무,7,2000,2000,1개,상(1등급),2022-02
2022-02-04,광주,2404,C-유통,231,월동,3,소비자가격,6,1,무,7,1580,1580,1개,상(1등급),2022-02
2022-02-04,대전,2501,역전시장,231,월동,12,소비자가격,6,1,무,7,1800,1800,1개,상(1등급),2022-02
2022-02-04,대전,2504,C-유통,231,월동,1,소비자가격,6,1,무,7,1580,1580,1개,상(1등급),2022-02
2022-02-04,대전,2504,E-유통,231,월동,2,소비자가격,6,1,무,7,990,990,1개,상(1등급),2022-02
2022-02-04,울산,2600,신정시장,231,월동,1,소비자가격,6,1,무,7,2000,2000,1개,상(1등급),2022-02
2022-02-04,세종,2701,C-유통,231,월동,1,소비자가격,6,1,무,7,1580,1580,1개,상(1등급),2022-02
2022-02-04,경기수원,3100,수원지동시장,231,월동,1,소비자가격,6,1,무,7,2000,2000,1개,상(1등급),2022-02
2022-02-04,경기,3104,B-유통,231,월동,2,소비자가격,6,1,무,7,1480,1480,1개,상(1등급),2022-02
2022-02-04,강원춘천,3200,춘천중앙시장,231,월동,1,소비자가격,6,1,무,7,2000,2000,1개,상(1등급),2022-02
2022-02-04,강원강릉,3214,중앙시장,231,월동,1,소비자가격,6,1,무,7,2000,2000,1개,상(1등급),2022-02
2022-02-04,충북청주,3300,육거리시장,231,월동,1,소비자가격,6,1,무,7,2160,2160,1개,상(1등급),2022-02
2022-02-04,청주,3304,B-유통,231,월동,1,소비자가격,6,1,무,7,1780,1780,1개,상(1등급),2022-02
2022-02-04,전북전주,3500,전주남부시장,231,월동,1,소비자가격,6,1,무,7,1830,1830,1개,상(1등급),2022-02
2022-02-04,전주,3504,C-유통,231,월동,1,소비자가격,6,1,무,7,1580,1580,1개,상(1등급),2022-02
